,model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task,label
0,jaesun/distilbert-base-uncased-finetuned-cola,,768,DistilBertForSequenceClassification,,glue/cola,2,"['unacceptable', 'acceptable']",,single_label_classification,,glue/cola
1,aXhyra/presentation_sentiment_1234567,,768,DistilBertForSequenceClassification,,tweet_eval/sentiment,3,"['negative', 'neutral', 'positive']",,single_label_classification,,tweet_eval/sentiment
2,moshew/bert-mini-sst2-distilled,,256,BertForSequenceClassification,,glue/sst2,2,"['negative', 'positive']",,,,glue/sst2
3,chiragasarpota/scotus-bert,,128,BertForSequenceClassification,,pasinit/scotus,14,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5', 'LABEL_6', 'LABEL_7', 'LABEL_8', 'LABEL_9', 'LABEL_10', 'LABEL_11', 'LABEL_12', 'LABEL_13']",,single_label_classification,scotus,pasinit/scotus
4,SetFit/distilbert-base-uncased__sst2__train-32-9,,768,DistilBertForSequenceClassification,,glue/sst2,2,"['negative', 'positive']",,single_label_classification,,glue/sst2
7,JB173/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,emotion,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,,emotion
9,uygarkurt/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,emotion,6,"['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']",,single_label_classification,,emotion
12,citizenlab/distilbert-base-multilingual-cased-toxicity,,768,DistilBertForSequenceClassification,,toxicity,2,"['toxic', 'not_toxic']",,,,toxicity
13,neibla/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,emotion,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,,emotion
14,Anthos23/FS-distilroberta-fine-tuned,,768,RobertaForSequenceClassification,,tweet_eval/sentiment,3,"['negative', 'neutral', 'positive']",,single_label_classification,,tweet_eval/sentiment
15,pietrotrope/emotion_final,,768,DistilBertForSequenceClassification,,tweet_eval/emotion,4,"['anger', 'joy', 'optimism', 'sadness']",,single_label_classification,,tweet_eval/emotion
16,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,,768,DistilBertForSequenceClassification,,glue/sst2,2,"['NEGATIVE', 'POSITIVE']",,single_label_classification,sst-2,glue/sst2
17,usami/distilbert-base-uncased-finetuned-cola,,768,DistilBertForSequenceClassification,,glue/cola,2,"['LABEL_0', 'LABEL_1']",,single_label_classification,,glue/cola
19,Nanatan/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,emotion,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,,emotion
21,markt23917/finetuning-sentiment-model-3000-samples,,768,DistilBertForSequenceClassification,,imdb,2,"['LABEL_0', 'LABEL_1']",,single_label_classification,,imdb
22,moghis/distilbert-base-uncased-finetuned-emotion,,768,DistilBertForSequenceClassification,,emotion,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",,single_label_classification,,emotion
